 FavoriteStarbucksDrink,FavoriteFlowerOrPlant,FavoriteCandy,FavoriteColor,FavoriteSnack,FavoriteRestaurant,FavoriteDriveThru,FavoriteDoughnut,FavoriteSportsTeam,FavoriteStore
Iced Blonde Vanilla Latte with Soy,Any succulent,Gushers,Purple ,Vegan Ginger Snaps,Pho Ba Luu,Starbucks,Any Vegan doughnut,Louisville City FC,Kroger
Chai tea latte,Daisies,Hershey’s cookies and cream or dark chocolate,Blue,Hummus and crackers,Panera,Wendys or ChikFilaA,Jelly filled,Ohio State!,Old Navy or Kohls
"Decaf plain old black tea - boring, but I do not like coffee","anything that is of the ""silk"" variety",Peppermint Patties,blue,Original flavor Wheat Thins,Bone Fish,Dairy Queen - Blizzards,raspberry jelly filled,University of Kentucky,Talbots
,I grow black raspberry plants,M&M s,,popcorn,Cunninghams,Arbys,chocolate,N/A,Amazon
Small Pikes Peak with 5 equals. :),Sunflower,Peanut butter fudge or dark chocolate,Purple,Chex mix original,Longhorns,Chick-fil-A,Cinnamon sugar twist,University Of Kentucky,Marshalls / Ross / Kohls
Chai Tea Latte (nonfat),Gardenia,White Chocolate,UK Blue,Veggies,First Watch,Chick Fil A,Glazed,UK,Amazon
Coffee Frappuccino,Anything that requires little maintenance :),Milk Duds and Twizzlers (Sweet and Sour Filled Twists),Pink,,,Chick Fil A,Chocolate iced with sprinkles,N/A,Target
Vanilla frappuccino,Anything lovely ,Hershey’s cookies and cream crunch ,"Maroon, teal, goldenrod",Peta chips and hummus!,,Chick fil a,Plain glazed or blueberry cake donut,N/A,N/A
Hot Chocolate,Tulips,Kit Kat candy bars,purple,Potato Chips,Chuy's Mexican Restaurant,Chick fil A,Custard Filled,U of L,Macy's or any store at Oxmoor Mall
"Mocha with almond milk, an extra shot of espresso, and cayenne",Sunflower,Dark chocolate,Purple,Granola bar or trail mix,Mirin,Any donut place,Lemon-filled,N/A,Quest Outdoors
"don't drink coffee, Hot Chocolate",Yellow roses,"Chocolate, M & M's, Hershey Kisses","Pink, Purple, Blue","popcorn, chex mix, ","Cheddars, Cracker Barrel",Chick Fil A,Cream filled chocolate,Kentucky Wildcats,Kohl's 
Nonfat Chai w/extra cinnamon powder!,Tulips,Reese's Peanut Butter Cups,Pink,Pretzels ,Texas Roadhouse,Panera Bread ,Chocolate Iced,University of Kentucky,Kohl's
Double Shot short cappuccino,Yellow rose,Cadbury Fruit and Nut Bar,Kentucky Blue!,Gummy Bears,Volare,Taco Bell,Chocolate Krispy Kreme,UK Wildcats,Macys
Vanilla Latte,Lavender or Sunflowers,"Dark chocolate, but I don't discriminate. :) ",Blue,Tortilla chips and guac,I don't have one! Need to explore...,Chik fil A,Maple Bacon from Nords Bakery,Alabama Crimson Tide or Tennessee Titans,TJ Maxx or Home Goods
Chai Tea,Stargazer lily,MandMs,Hot pink,Doritos,Simply Thai,Chick fil A,Custard filled chocolate covered,GA Bulldogs,Dillard's
Caramel Frappuccino,Peace Lilly,Reese's Peanut Butter Cup,Red,Cheez-It,Texas Roadhouse,Taco Bell,Chocolate,U of L Basket Ball Team,Dillards/Macy's
Chai latte ,Lupines and Orchids ,Starbursts (orange and pink),purple,sun chips ,"Taco Luchador, Seviche, Rye ",Chick Fil A ,chocolate cake ,N/A,Target
Decaffinated Cappuccino,Calla Lilies and hibiscus,chocolate coconut,green,Plantain Chips,Mojito's,Avoid them,Avoid them,Louisville City Soccer and Chelsea Football,"Macy's, Dry Good Store, Pottery Barn"
The Frozen one with the cookies,Gerber daisies,Dark chocolate,Yellow,Oreos,Macaroni grill,Rally's,Chocolate chocolate,Brazil soccer,Barnes and Noble
Decaf,Peace Lily  for plant//any flower,cocoa,peach,fruit,Health Conscious,Panera Bread,Do not Eat,Basketball,Macys
I'm not a fan! : - ),forget me not,Dove Dark Chocolate Salted Caramel,Purple,,Ditto's  El NaPol,Zaxby's,Plain Cake Blueberry,Louisville Cardinals,Anywhere there is a Sale!
"Black and hot, I shall say no more...",Gerber Daisies are just SO  happy!,"Chocolate, the good stuff",Green for growth,White chocolate pretzels,That one looks nice,No thank you,Cake donuts,"Louisville City FC Which is a soccer league and not a fight club as was my original assumption. ""A 65 million dollar stadium for what???""","Macy's, where I hide from my adult children who are plotting to put me in a home as per the above statement."
Coffee,Daisy,chocolate,Purple,cheese,Uptown,I do not go to drive thrus,Glaze,U of L,Target
